episode,timestep,reward
4715,235800,-116.4949
4727,236400,-126.65
4739,237000,-142.7478
4751,237600,-113.306
4763,238200,-138.3035
4775,238800,-132.3081
4787,239400,-113.536
4799,240000,-127.0438
4811,240600,-133.0629
4823,241200,-102.8754
4835,241800,-121.1212
4847,242400,-123.9131
4859,243000,-131.1148
4871,243600,-134.0732
4883,244200,-108.4875
4895,244800,-109.9488
4907,245400,-136.0214
4919,246000,-128.8218
4931,246600,-114.0443
4943,247200,-121.9955
4955,247800,-118.6413
4967,248400,-132.6162
4979,249000,-115.4017
4991,249600,-139.7486
5003,250200,-132.5231
5015,250800,-135.9613
5027,251400,-130.3495
5039,252000,-123.7417
5051,252600,-114.891
5063,253200,-121.1683
5075,253800,-131.5548
5087,254400,-124.0712
5099,255000,-106.7778
5111,255600,-102.8769
5123,256200,-116.0066
5135,256800,-111.4093
5147,257400,-124.8174
5159,258000,-111.2076
5171,258600,-132.3645
5183,259200,-120.5279
5195,259800,-139.9039
5207,260400,-146.464
5219,261000,-125.5755
5231,261600,-102.7047
5243,262200,-155.106
5255,262800,-102.3433
5267,263400,-128.9053
5279,264000,-109.8936
5291,264600,-117.0917
5303,265200,-129.4932
5315,265800,-104.9764
5327,266400,-120.3189
5339,267000,-116.2184
5351,267600,-122.8055
5363,268200,-115.3145
5375,268800,-99.6008
5387,269400,-106.0305
5399,270000,-123.1075
5411,270600,-120.0047
5423,271200,-156.4374
5435,271800,-125.8064
5447,272400,-109.7246
5459,273000,-132.5789
5471,273600,-136.5433
5483,274200,-104.5417
5495,274800,-103.8771
5507,275400,-143.1544
5519,276000,-153.148
5531,276600,-113.7211
5543,277200,-130.235
5555,277800,-102.7736
5567,278400,-138.5189
5579,279000,-115.6235
5591,279600,-127.4114
5603,280200,-121.3119
5615,280800,-131.6061
5627,281400,-122.5259
5639,282000,-106.6193
5651,282600,-131.0817
5663,283200,-125.3223
5675,283800,-122.289
5687,284400,-119.4707
5699,285000,-135.5702
5711,285600,-108.1222
5723,286200,-123.353
5735,286800,-111.6653
5747,287400,-116.6063
5759,288000,-130.7268
5771,288600,-146.0173
5783,289200,-128.3237
5795,289800,-137.7108
5807,290400,-121.9982
5819,291000,-99.8014
5831,291600,-137.6885
5843,292200,-98.399
5855,292800,-98.2607
5867,293400,-134.9257
5879,294000,-130.9097
5891,294600,-134.5994
5903,295200,-131.4545
5915,295800,-115.9226
5927,296400,-129.9824
5939,297000,-150.2186
5951,297600,-125.7921
5963,298200,-139.2542
5975,298800,-122.9172
5987,299400,-114.6518
5999,300000,-131.1693
6011,300600,-101.4297
6023,301200,-93.0669
6035,301800,-135.0922
6047,302400,-154.0164
6059,303000,-103.5373
6071,303600,-111.6519
6083,304200,-113.3083
6095,304800,-117.5551
6107,305400,-118.7992
6119,306000,-127.9696
6131,306600,-136.8238
6143,307200,-117.1932
6155,307800,-125.9499
6167,308400,-120.6804
6179,309000,-124.6768
6191,309600,-134.9569
6203,310200,-112.8524
6215,310800,-103.9681
6227,311400,-111.2174
6239,312000,-145.7711
6251,312600,-99.4351
6263,313200,-118.4704
6275,313800,-126.3109
6287,314400,-128.4581
6299,315000,-124.9911
6311,315600,-125.1343
6323,316200,-124.9599
6335,316800,-139.3159
6347,317400,-97.3992
6359,318000,-105.7381
6371,318600,-138.5396
6383,319200,-127.676
6395,319800,-136.6645
6407,320400,-128.7025
6419,321000,-126.0215
6431,321600,-93.7815
6443,322200,-142.3741
6455,322800,-144.2458
6467,323400,-125.1859
6479,324000,-145.9966
6491,324600,-111.3224
6503,325200,-138.3176
6515,325800,-118.0502
6527,326400,-138.4227
6539,327000,-124.9294
6551,327600,-137.9826
6563,328200,-95.3714
6575,328800,-111.6411
6587,329400,-121.7235
6599,330000,-123.5654
6611,330600,-111.7299
6623,331200,-125.8227
6635,331800,-121.8018
6647,332400,-120.6919
6659,333000,-103.3519
6671,333600,-113.7763
6683,334200,-141.223
6695,334800,-121.3641
6707,335400,-122.6467
6719,336000,-127.5704
6731,336600,-123.6191
6743,337200,-145.9604
6755,337800,-112.2397
6767,338400,-114.2201
6779,339000,-118.0726
6791,339600,-130.2007
6803,340200,-115.8653
6815,340800,-126.0011
6827,341400,-111.5012
6839,342000,-96.9078
6851,342600,-135.5336
6863,343200,-121.3645
6875,343800,-129.4778
6887,344400,-125.6749
6899,345000,-104.7775
6911,345600,-115.0983
6923,346200,-118.5431
6935,346800,-100.9481
6947,347400,-126.0874
6959,348000,-128.1509
6971,348600,-107.688
6983,349200,-128.7093
6995,349800,-111.5188
7007,350400,-120.7366
7019,351000,-121.0729
7031,351600,-120.0944
7043,352200,-118.3679
7055,352800,-127.0168
7067,353400,-127.2293
7079,354000,-126.0052
7091,354600,-116.1177
7103,355200,-125.5983
7115,355800,-122.3443
7127,356400,-119.8094
7139,357000,-118.6734
7151,357600,-92.2003
7163,358200,-125.1545
7175,358800,-128.1604
7187,359400,-123.215
7199,360000,-140.1956
7211,360600,-100.4641
7223,361200,-109.3351
7235,361800,-121.575
7247,362400,-123.2812
7259,363000,-145.0974
7271,363600,-113.8913
7283,364200,-120.4224
7295,364800,-130.9128
7307,365400,-118.2983
7319,366000,-124.5566
7331,366600,-111.9964
7343,367200,-136.4682
7355,367800,-144.8251
7367,368400,-115.5347
7379,369000,-140.0778
7391,369600,-86.1097
7403,370200,-126.2663
7415,370800,-121.0548
7427,371400,-99.4761
7439,372000,-145.1377
7451,372600,-95.4195
7463,373200,-114.3823
7475,373800,-107.2338
7487,374400,-127.0656
7499,375000,-120.3657
7511,375600,-123.6415
7523,376200,-107.7572
7535,376800,-102.0554
7547,377400,-120.7686
7559,378000,-105.362
7571,378600,-140.2821
7583,379200,-133.223
7595,379800,-119.6588
7607,380400,-108.1314
7619,381000,-110.9909
7631,381600,-112.9382
7643,382200,-101.2038
7655,382800,-118.6348
7667,383400,-124.3274
7679,384000,-113.4387
7691,384600,-99.9399
7703,385200,-121.3791
7715,385800,-99.4279
7727,386400,-79.2373
7739,387000,-112.0552
7751,387600,-126.3852
7763,388200,-125.1519
7775,388800,-128.3976
7787,389400,-89.3681
7799,390000,-86.4629
7811,390600,-127.3852
7823,391200,-146.5123
7835,391800,-96.5461
7847,392400,-83.4712
7859,393000,-108.5266
7871,393600,-120.6471
7883,394200,-138.7948
7895,394800,-109.2742
7907,395400,-102.5956
7919,396000,-96.6264
7931,396600,-82.5715
7943,397200,-132.0611
7955,397800,-115.0605
7967,398400,-122.8473
7979,399000,-114.0443
7991,399600,-143.6289
8003,400200,-107.7832
8015,400800,-85.4542
