episode,timestep,reward
2195,109800,-133.0195
2201,110100,-90.7228
2207,110400,-127.1479
2213,110700,-100.9687
2219,111000,-129.9518
2225,111300,-144.6904
2231,111600,-107.5729
2237,111900,-148.1425
2243,112200,-135.497
2249,112500,-139.8676
2255,112800,-141.0659
2261,113100,-116.4419
2267,113400,-151.2202
2273,113700,-107.1579
2279,114000,-135.9503
2285,114300,-125.0201
2291,114600,-141.8579
2297,114900,-163.3327
2303,115200,-149.1129
2309,115500,-107.5778
2315,115800,-135.1374
2321,116100,-101.508
2327,116400,-158.4569
2333,116700,-150.6194
2339,117000,-132.6719
2345,117300,-110.9304
2351,117600,-103.5734
2357,117900,-126.5326
2363,118200,-126.2025
2369,118500,-141.3237
2375,118800,-132.3883
2381,119100,-135.6327
2387,119400,-143.4136
2393,119700,-112.3727
2399,120000,-142.7769
2405,120300,-142.7103
2411,120600,-159.7546
2417,120900,-163.82
2423,121200,-139.4881
2429,121500,-121.9534
2435,121800,-122.6947
2441,122100,-124.0922
2447,122400,-147.1197
2453,122700,-117.4606
2459,123000,-164.5352
2465,123300,-113.519
2471,123600,-147.839
2477,123900,-119.9878
2483,124200,-117.0041
2489,124500,-122.4739
2495,124800,-135.0505
2501,125100,-124.6115
2507,125400,-157.4263
2513,125700,-141.8041
2519,126000,-133.5548
2525,126300,-146.2293
2531,126600,-153.9029
2537,126900,-155.9509
2543,127200,-103.3561
2549,127500,-128.2468
2555,127800,-119.4463
2561,128100,-159.9143
2567,128400,-147.8674
2573,128700,-153.775
2579,129000,-142.2174
2585,129300,-142.2197
2591,129600,-102.6305
2597,129900,-133.399
2603,130200,-128.1402
2609,130500,-145.701
2615,130800,-133.173
2621,131100,-156.4017
2627,131400,-141.6779
2633,131700,-154.5615
2639,132000,-132.3029
2645,132300,-152.019
2651,132600,-103.0312
2657,132900,-120.0813
2663,133200,-110.279
2669,133500,-141.0168
2675,133800,-150.7303
2681,134100,-117.282
2687,134400,-153.1023
2693,134700,-119.0628
